name,tag,market
Sapphire Foods India Limited,SAPPHIRE.NS,NSE
Caplin Point Laboratories Limited,CAPLIPOINT.NS,NSE
Minda Corporation Limited,MINDACORP.NS,NSE
MMTC Limited,MMTC.NS,NSE
PTC Industries Limited,PTCIL.NS,NSE
IFCI Limited,IFCI.NS,NSE
Praj Industries Limited,PRAJIND.NS,NSE
Voltamp Transformers Limited,VOLTAMP.NS,NSE
Shipping Corporation Of India Limited,SCI.NS,NSE
Usha Martin Limited,USHAMART.NS,NSE
EID Parry India Limited,EIDPARRY.NS,NSE
RattanIndia Enterprises Limited,RTNINDIA.NS,NSE
Anupam Rasayan India Limited,ANURAS.NS,NSE
Glenmark Life Sciences Limited,GLS.NS,NSE
DOMS Industries Limited,DOMS.NS,NSE
Infibeam Avenues Limited,INFIBEAM.NS,NSE
FORCE MOTORS LTD,FORCEMOT.NS,NSE
Zydus Wellness Limited,ZYDUSWELL.NS,NSE
Star Cement Limited,STARCEMENT.NS,NSE
Godrej Agrovet Limited,GODREJAGRO.NS,NSE
TTK Prestige Limited,TTKPRESTIG.NS,NSE
Alkyl Amines Chemicals Limited,ALKYLAMINE.NS,NSE
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC.NS,NSE
KPI Green Energy Limited,KPIGREEN.NS,NSE
Craftsman Automation Limited,CRAFTSMAN.NS,NSE
Mahindra Lifespace Developers Limited,MAHLIFE.NS,NSE
Redtape Limited,REDTAPE.NS,NSE
Jubilant Pharmova Limited,JUBLPHARMA.NS,NSE
Netweb Technologies India Limited,NETWEB.NS,NSE
Network18 Media & Investments Limited,NETWORK18.NS,NSE
Prism Johnson Limited,PRSMJOHNSN.NS,NSE
Metropolis Healthcare Limited,METROPOLIS.NS,NSE
Cera Sanitaryware Limited,CERA.NS,NSE
SBFC Finance Limited,SBFC.NS,NSE
Garden Reach Shipbuilders & Engineers Limited,GRSE.NS,NSE
Kirloskar Brothers Limited,KIRLOSBROS.NS,NSE
Ujjivan Small Finance Bank Limited,UJJIVANSFB.NS,NSE
Shriram Pistons & Rings Limited,SHRIPISTON.NS,NSE
Shree Renuka Sugars Limited,RENUKA.NS,NSE
Rategain Travel Technologies Limited,RATEGAIN.NS,NSE
Wockhardt Limited,WOCKPHARMA.NS,NSE
Safari Industries (India) Limited,SAFARI.NS,NSE
Happy Forgings Limited,HAPPYFORGE.NS,NSE
Techno Electric & Engineering Company Limited,TECHNOE.NS,NSE
Shoppers Stop Limited,SHOPERSTOP.NS,NSE
Indiabulls Housing Finance Limited,IBULHSGFIN.NS,NSE
Syrma SGS Technology Limited,SYRMA.NS,NSE
Tega Industries Limited,TEGA.NS,NSE
Archean Chemical Industries Limited,ACI.NS,NSE
Medplus Health Services Limited,MEDPLUS.NS,NSE
Maharashtra Scooters Limited,MAHSCOOTER.NS,NSE
Neuland Laboratories Limited,NEULANDLAB.NS,NSE
Azad Engineering Limited,AZAD.NS,NSE
Esab India Limited,ESABINDIA.NS,NSE
Galaxy Surfactants Limited,GALAXYSURF.NS,NSE
Zen Technologies Limited,ZENTEC.NS,NSE
JSW Holdings Limited,JSWHL.NS,NSE
TV18 Broadcast Limited,TV18BRDCST.NS,NSE
Home First Finance Company India Limited,HOMEFIRST.NS,NSE
Mahindra Holidays & Resorts India Limited,MHRIL.NS,NSE
Power Mech Projects Limited,POWERMECH.NS,NSE
The Karnataka Bank Limited,KTKBANK.NS,NSE
Jupiter Life Line Hospitals Limited,JLHL.NS,NSE
Mastek Limited,MASTEK.NS,NSE
Procter & Gamble Health Limited,PGHL.NS,NSE
Thomas Cook  (India)  Limited,THOMASCOOK.NS,NSE
CCL Products (India) Limited,CCL.NS,NSE
Gujarat State Fertilizers & Chemicals Limited,GSFC.NS,NSE
Rajesh Exports Limited,RAJESHEXPO.NS,NSE
Quess Corp Limited,QUESS.NS,NSE
Varroc Engineering Limited,VARROC.NS,NSE
Tamilnad Mercantile Bank Limited,TMB.NS,NSE
Man Infraconstruction Limited,MANINFRA.NS,NSE
Easy Trip Planners Limited,EASEMYTRIP.NS,NSE
